Primary_Gaia_source_id,Secondary_Gaia_source_id,mass1,mass1_err,mass2,mass2_err 
66798496781121792,66798526845337344,3.47,0.15,0.58,0.01		
66507469798631808,66507469798631936,2.42,0.12,1.15,0.04	
64956127609464320,64956123313498368,2.45,0.12,1.13,0.03		
66486510358371072,66486510354964864,2.16,0.26,0.37,0.02	
65282716922610944,65282716920396160,2.18,0.11,0.43,0.02	
65207709611941376,65207709613871744,2.16,0.11,1.09,0.03	
65230764996027776,65230764998207232,1.66,0.06,1.29,0.04		
64933759417769984,64933759417767424,1.62,0.06,0.20,0.02	
64837242912474624,64837139834697984,1.44,0.05,1.21,0.04		
65272821318002560,65272817023559040,1.40,0.05,0.56,0.01	
66939848447027584,66939852742083328,1.37,0.04,0.76,0.05		
69811948914407168,69811948914509056,1.22,0.04,0.37,0.02		
66507469798631936,66507469798632320,1.15,0.04,1.10,0.03	
65063707949772544,65063707949772672,1.07,0.03,0.40,0.02	
65249250535404928,65249250537488128,0.98,0.03,0.95,0.03		
69864313155605120,69864313154046592,0.95,0.03,0.21,0.02	
65247704349267584,65248460263511552,0.93,0.03,0.82,0.02	
66873435368674944,66873431072788608,0.92,0.03,0.91,0.03		
64814045795106944,64814050089186048,0.83,0.02,0.80,0.02		
65163797868281088,65163797866480768,0.81,0.02,0.42,0.02		
66814302260735104,66814302258090880,0.81,0.02,0.61,0.01		
65010239900405504,65010244195009024,0.80,0.02,0.29,0.02		
66584332530000512,66584332532300288,0.78,0.02,0.50,0.02		
66733552578791296,66733556873061120,0.74,0.02,0.71,0.02		
66474450090138496,66474450090139008,0.73,0.02,0.45,0.02	
69823940463098752,69823940463098112,0.64,0.03,0.15,0.01		
68364544935515392,68364544933829376,0.61,0.02,0.60,0.02		
65212691775922048,65212691773969280,0.61,0.02,0.52,0.01		
64131150292139648,64131150289171712,0.58,0.01,0.22,0.02		
68267680536205440,68267684833497728,0.58,0.01,0.24,0.02	
64021920682268416,64021920680680576,0.57,0.01,0.27,0.02		
66781316909399424,66781316912634880,0.57,0.01,0.13,0.01		
65266494828710400,65266499126062080,0.56,0.01,0.54,0.01		
66801623514684416,66801623517294848,0.55,0.01,0.31,0.02		
65241313435901568,65241313437941504,0.55,0.01,0.54,0.01		
66555573432261376,66555573432261120,0.54,0.02,0.45,0.02			
70035351636365824,70035355933666304,0.53,0.01,0.32,0.02		
64094037476647040,64094041774819712,0.49,0.02,0.19,0.01
